GDP,lex,surface_area_sq_km,pop,Region_Color,,country
1360,64,653000,41500000,0x00ff00,,Afghanistan
5780,65.9,1250000,36700000,0xffff00,,Angola
16200,77.3,28800,2810000,0x0000ff,,Albania
55300,82.9,470,80900,0x0000ff,,Andorra
76500,74.6,98600,10600000,0x00ff00,,UAE
21800,77.3,2780000,45500000,0xff0000,,Argentina
17500,76.5,29700,2940000,0x0000ff,,Armenia
22400,77,440,93300,0xff0000,,Antigua and Barbuda
51600,83.5,7740000,26500000,0x00ff00,,Australia
55200,82.8,83900,9130000,0x0000ff,,Austria
15300,71.5,86600,10300000,0x0000ff,,Azerbaijan
708,64,27800,13700000,0xffff00,,Burundi
53000,82,30500,11700000,0x0000ff,,Belgium
3560,64.5,115000,14100000,0xffff00,,Benin
2170,62.2,274000,23000000,0xffff00,,Burkina Faso
6560,75.8,148000,171000000,0x00ff00,,Bangladesh
27600,71.2,111000,6800000,0x0000ff,,Bulgaria
52700,77.7,790,1570000,0x00ff00,,Bahrain
33800,76.8,13900,399000,0xff0000,,Bahamas
17200,75.9,51200,3190000,0x0000ff,,Bosnia and Herzegovina
19900,74.8,208000,9120000,0x0000ff,,Belarus
9700,75.2,23000,411000,0xff0000,,Belize
8330,73,1100000,12200000,0xff0000,,Bolivia
15500,76.7,8520000,211000000,0xff0000,,Brazil
16300,76.8,430,282000,0xff0000,,Barbados
59000,74.2,5770,459000,0x00ff00,,Brunei
12400,74.3,38400,786000,0x00ff00,,Bhutan
15600,62.8,582000,2480000,0xffff00,,Botswana
807,52.8,623000,5150000,0xffff00,,Central African Republic
48200,82.8,15600000,39300000,0xff0000,,Canada
71200,84.6,41300,8870000,0x0000ff,,Switzerland
25800,81,757000,19700000,0xff0000,,Chile
19200,78.4,9560000,1420000000,0x00ff00,,China
5730,65.1,322000,31200000,0xffff00,,Cote d'Ivoire
3780,63.7,475000,28400000,0xffff00,,Cameroon
1190,65.4,2340000,106000000,0xffff00,,"Congo, Dem. Rep."
3200,66,342000,6180000,0xffff00,,"Congo, Rep."
15700,81,1140000,52300000,0xff0000,,Colombia
3270,69.8,1860,850000,0xffff00,,Comoros
7990,74.6,4030,522000,0xffff00,,Cape Verde
23000,80.9,51100,5110000,0xff0000,,Costa Rica
8840,79.4,110000,11000000,0xff0000,,Cuba
43500,81.5,9250,1340000,0x0000ff,,Cyprus
40200,80,78900,10800000,0x0000ff,,Czech Republic
53200,81.8,358000,84500000,0x0000ff,,Germany
5290,67.5,23200,1150000,0xffff00,,Djibouti
11900,73,750,66500,0xff0000,,Dominica
59800,81.7,42900,5950000,0x0000ff,,Denmark
19600,74,147000,11300000,0xff0000,,Dominican Republic
11500,77.1,2380000,46200000,0xffff00,,Algeria
11300,77.2,256000,18000000,0xff0000,,Ecuador
13100,70.4,1000000,115000000,0xffff00,,Egypt
2020,63.8,122000,3470000,0xffff00,,Eritrea
40300,83.6,506000,47900000,0x0000ff,,Spain
36400,78.7,45300,1370000,0x0000ff,,Estonia
2470,69.7,1140000,129000000,0xffff00,,Ethiopia
48500,82.5,338000,5600000,0x0000ff,,Finland
13300,68.9,18300,924000,0x00ff00,,Fiji
46100,83.5,549000,66400000,0x0000ff,,France
3260,64.3,700,113000,0x00ff00,,"Micronesia, Fed. Sts."
14000,67.4,268000,2480000,0xffff00,,Gabon
46000,81.7,244000,68700000,0x0000ff,,UK
18200,72.4,69700,3810000,0x0000ff,,Georgia
5590,66.1,239000,33800000,0xffff00,,Ghana
2820,61.1,246000,14400000,0xffff00,,Guinea
2180,67.1,11300,2700000,0xffff00,,Gambia
1910,60.6,36100,2150000,0xffff00,,Guinea-Bissau
13600,66.3,28100,1850000,0xffff00,,Equatorial Guinea
32500,81.7,132000,10200000,0x0000ff,,Greece
15200,73.9,340,117000,0xff0000,,Grenada
9350,69.6,109000,18100000,0xff0000,,Guatemala
47100,68,215000,826000,0xff0000,,Guyana
58700,0,1110,7440000,0x00ff00,,"Hong Kong, China"
5830,72.7,112000,10600000,0xff0000,,Honduras
35300,79.3,88100,3900000,0x0000ff,,Croatia
2710,64.3,27800,11600000,0xff0000,,Haiti
35300,77.3,93000,9690000,0x0000ff,,Hungary
12900,72,1920000,281000000,0x00ff00,,Indonesia
7570,71.9,3290000,1440000000,0x00ff00,,India
104000,82.6,70300,5200000,0x0000ff,,Ireland
16100,78.6,1750000,90600000,0x00ff00,,Iran
8780,73.8,435000,45100000,0x00ff00,,Iraq
56800,84.6,103000,388000,0x0000ff,,Iceland
44400,83.6,22100,9260000,0x00ff00,,Israel
44400,83.8,302000,59500000,0x0000ff,,Italy
10300,76.9,11000,2840000,0xff0000,,Jamaica
9510,77.2,89300,11400000,0x00ff00,,Jordan
42600,85.3,378000,124000000,0x00ff00,,Japan
27300,70.7,2720000,20300000,0x00ff00,,Kazakhstan
5050,66.9,580000,55300000,0xffff00,,Kenya
5440,73.3,200000,7070000,0x00ff00,,Kyrgyz Republic
4730,70.7,181000,17400000,0x00ff00,,Cambodia
2100,61.4,810,133000,0x00ff00,,Kiribati
30200,72.7,260,46800,0xff0000,,St. Kitts and Nevis
46100,83.4,100000,51700000,0x00ff00,,South Korea
46700,82.3,17800,4840000,0x00ff00,,Kuwait
8130,70.1,237000,7660000,0x00ff00,,Lao
13500,73.6,10400,5770000,0x00ff00,,Lebanon
1500,67.1,111000,5490000,0xffff00,,Liberia
19800,76.8,1760000,7310000,0xffff00,,Libya
15800,75.8,620,179000,0xff0000,,St. Lucia
12100,78.1,65600,23000000,0x00ff00,,Sri Lanka
2290,52.5,30400,2310000,0xffff00,,Lesotho
39100,76.9,65300,2850000,0x0000ff,,Lithuania
111000,83.5,2590,665000,0x0000ff,,Luxembourg
33000,76.4,64600,1880000,0x0000ff,,Latvia
8250,74.3,447000,37700000,0xffff00,,Morocco
218000,80.5,90.1,39000,0x0000ff,,Monaco
13600,72.8,33900,3070000,0x0000ff,,Moldova
1530,66,587000,31200000,0xffff00,,Madagascar
22200,80,300,526000,0x00ff00,,Maldives
20200,76.5,1960000,130000000,0xff0000,,Mexico
6120,66,180,38800,0x00ff00,,Marshall Islands
17500,72.4,25700,1830000,0x0000ff,,North Macedonia
2170,62.2,1240000,23800000,0xffff00,,Mali
48800,83.2,320,533000,0x0000ff,,Malta
4180,70.3,677000,54100000,0x00ff00,,Myanmar
23500,76.6,13800,634000,0x0000ff,,Montenegro
12700,69.1,1560000,3430000,0x00ff00,,Mongolia
1270,59.5,799000,33600000,0xffff00,,Mozambique
5540,70.5,1030000,5020000,0xffff00,,Mauritania
24400,76,2010,1270000,0xffff00,,Mauritius
1450,64.3,118000,21100000,0xffff00,,Malawi
29000,75.7,330000,35100000,0x00ff00,,Malaysia
9820,61.6,824000,2960000,0xffff00,,Namibia
1260,62.5,1270000,26200000,0xffff00,,Niger
4990,65.5,924000,228000000,0xffff00,,Nigeria
6000,76.1,130000,6820000,0xff0000,,Nicaragua
58000,82.3,41500,18100000,0x0000ff,,Netherlands
66900,83.5,625000,5520000,0x0000ff,,Norway
4030,72.3,147000,29700000,0x00ff00,,Nepal
11100,64.1,20,11900,0x00ff00,,Nauru
44600,82.4,268000,5170000,0x00ff00,,New Zealand
35300,74.9,310000,5050000,0x00ff00,,Oman
5270,66.4,796000,248000000,0x00ff00,,Pakistan
35200,80.8,75300,4460000,0xff0000,,Panama
12600,81.1,1290000,33800000,0xff0000,,Peru
8920,72.3,300000,115000000,0x00ff00,,Philippines
13800,68.3,460,17700,0x00ff00,,Palau
3820,65.3,463000,10400000,0x00ff00,,Papua New Guinea
38000,78.8,313000,38800000,0x0000ff,,Poland
1800,73.7,121000,26400000,0x00ff00,,North Korea
36200,82.4,92200,10400000,0x0000ff,,Portugal
14000,77.1,407000,6840000,0xff0000,,Paraguay
5290,73.8,6030,5410000,0x00ff00,,Palestine
88800,77,11500,2980000,0x00ff00,,Qatar
33100,74.2,238000,19100000,0x0000ff,,Romania
28800,73.6,17100000,145000000,0x0000ff,,Russia
2500,69.6,26300,14000000,0xffff00,,Rwanda
48400,75.3,2150000,33300000,0x00ff00,,Saudi Arabia
3060,70.7,1880000,50000000,0xffff00,,Sudan
3590,69.3,197000,18100000,0xffff00,,Senegal
104000,85.4,728,5790000,0x00ff00,,Singapore
2420,59.6,28900,800000,0x00ff00,,Solomon Islands
1660,62.3,72300,8460000,0xffff00,,Sierra Leone
9700,76.6,21000,6310000,0xff0000,,El Salvador
68800,82.8,60,33700,0x0000ff,,San Marino
1130,58.8,638000,18400000,0xffff00,,Somalia
21500,74.2,85000,6770000,0x0000ff,,Serbia
354,64.4,647000,11500000,0xffff00,,South Sudan
3880,71.3,960,231000,0xffff00,,Sao Tome and Principe
15200,73.3,164000,629000,0xff0000,,Suriname
33800,78.2,49000,5520000,0x0000ff,,Slovak Republic
41400,82.1,20500,2120000,0x0000ff,,Slovenia
54500,83.4,529000,10600000,0x0000ff,,Sweden
9190,55.5,17400,1230000,0xffff00,,Eswatini
27200,74.4,460,128000,0xffff00,,Seychelles
3170,74.5,185000,23600000,0x00ff00,,Syria
1430,60.9,1280000,19300000,0xffff00,,Chad
2300,66,56800,9300000,0xffff00,,Togo
17800,79.3,513000,71700000,0x00ff00,,Thailand
4400,70.1,141000,10400000,0x00ff00,,Tajikistan
15600,71.4,488000,7360000,0x00ff00,,Turkmenistan
3320,71.7,14900,1380000,0x00ff00,,Timor-Leste
5800,73.5,750,105000,0x00ff00,,Tonga
23700,75.5,5130,1500000,0xff0000,,Trinidad and Tobago
10500,78.7,164000,12200000,0xffff00,,Tunisia
34200,79.3,785000,87300000,0x0000ff,,Turkey
4730,68.8,30,9820,0x00ff00,,Tuvalu
2680,67.8,947000,66600000,0xffff00,,Tanzania
2330,67.1,242000,48700000,0xffff00,,Uganda
11700,72.3,604000,37700000,0x0000ff,,Ukraine
24500,78.2,176000,3390000,0xff0000,,Uruguay
65900,79.5,9830000,343000000,0xff0000,,USA
8380,68.9,449000,35700000,0x00ff00,,Uzbekistan
15800,70.4,390,101000,0xff0000,,St. Vincent and the Grenadines
6500,75.8,912000,28300000,0xff0000,,Venezuela
11900,75.1,331000,100000000,0x00ff00,,Vietnam
2780,66.2,12200,320000,0x00ff00,,Vanuatu
5490,71.1,2840,217000,0x00ff00,,Samoa
1650,67.2,528000,39400000,0x00ff00,,Yemen
13400,61.9,1220000,63200000,0xffff00,,South Africa
3410,63.4,753000,20700000,0xffff00,,Zambia
2270,61.7,391000,16300000,0xffff00,,Zimbabwe
