x,y,z,size,color
5.1,3.5,1.4,0.060636395,0xff0000
4.9,3,1.4,0.018013503,0x0000ff
4.7,3.2,1.3,1.244127242,0xffff00
4.6,3.1,1.5,0.602549935,0xff0000
5,3.6,1.4,1.154864607,0xffff00
5.4,3.9,1.7,1.260221939,0x0000ff
4.6,3.4,1.4,0.960786952,0x0000ff
5,3.4,1.5,0.216058761,0xff0000
4.4,2.9,1.4,0.205906822,0xffff00
4.9,3.1,1.5,1.234831377,0x0000ff
5.4,3.7,1.5,1.796770149,0x0000ff
4.8,3.4,1.6,0.889907712,0xffff00
4.8,3,1.4,1.905203081,0xffff00
4.3,3,1.1,0.299723717,0xffff00
5.8,4,1.2,1.390858549,0xff0000
5.7,4.4,1.5,0.34176776,0x0000ff
5.4,3.9,1.3,0.424205445,0xff0000
5.1,3.5,1.4,1.56323846,0x0000ff
5.7,3.8,1.7,0.260299693,0xff0000
5.1,3.8,1.5,1.586324244,0xff0000
5.4,3.4,1.7,0.742501366,0x0000ff
5.1,3.7,1.5,0.955915449,0x0000ff
4.6,3.6,1,1.316032102,0xffff00
5.1,3.3,1.7,0.146441539,0x0000ff
4.8,3.4,1.9,0.16720732,0xffff00
5,3,1.6,0.854559627,0xff0000
5,3.4,1.6,0.982053143,0xffff00
5.2,3.5,1.5,0.873830322,0xff0000
5.2,3.4,1.4,1.802862981,0xff0000
4.7,3.2,1.6,0.044325158,0xff0000
4.8,3.1,1.6,1.418530447,0xff0000
5.4,3.4,1.5,1.565874059,0x0000ff
5.2,4.1,1.5,1.406048545,0x0000ff
5.5,4.2,1.4,0.341708902,0x0000ff
4.9,3.1,1.5,0.001591474,0xff0000
5,3.2,1.2,0.734929861,0xffff00
5.5,3.5,1.3,1.512154335,0x0000ff
4.9,3.1,1.5,1.588802942,0x0000ff
4.4,3,1.3,1.01661313,0x0000ff
5.1,3.4,1.5,0.097619246,0x0000ff
5,3.5,1.3,0.464865831,0xff0000
4.5,2.3,1.3,1.681283375,0x0000ff
4.4,3.2,1.3,0.202441813,0xff0000
5,3.5,1.6,0.772784642,0xffff00
5.1,3.8,1.9,1.490309685,0xff0000
4.8,3,1.4,0.464914359,0x0000ff
5.1,3.8,1.6,0.071033758,0xffff00
4.6,3.2,1.4,0.503384802,0x0000ff
5.3,3.7,1.5,0.874613865,0xff0000
5,3.3,1.4,0.173460287,0xffff00
7,3.2,4.7,0.492583948,0xffff00
6.4,3.2,4.5,1.959780332,0xffff00
6.9,3.1,4.9,0.856703677,0x0000ff
5.5,2.3,4,1.104323834,0xffff00
6.5,2.8,4.6,0.283857474,0x0000ff
5.7,2.8,4.5,1.675543378,0xffff00
6.3,3.3,4.7,1.544577863,0xffff00
4.9,2.4,3.3,1.656234372,0x0000ff
6.6,2.9,4.6,0.135909231,0xffff00
5.2,2.7,3.9,1.542304352,0xffff00
5,2,3.5,0.526839352,0xff0000
5.9,3,4.2,1.814880195,0xffff00
6,2.2,4,1.364905728,0x0000ff
6.1,2.9,4.7,1.619305379,0xffff00
5.6,2.9,3.6,0.249791159,0xffff00
6.7,3.1,4.4,1.025521604,0x0000ff
5.6,3,4.5,0.03678732,0xff0000
5.8,2.7,4.1,1.479855522,0x0000ff
6.2,2.2,4.5,1.999287322,0xff0000
5.6,2.5,3.9,0.317643968,0x0000ff
5.9,3.2,4.8,1.668363798,0x0000ff
6.1,2.8,4,1.135424334,0xffff00
6.3,2.5,4.9,0.873698191,0x0000ff
6.1,2.8,4.7,1.397564413,0xffff00
6.4,2.9,4.3,1.138904142,0x0000ff
6.6,3,4.4,0.481675784,0xffff00
6.8,2.8,4.8,1.34490814,0x0000ff
6.7,3,5,0.325833,0xff0000
6,2.9,4.5,1.343673715,0xffff00
5.7,2.6,3.5,0.870030777,0xff0000
5.5,2.4,3.8,0.714438154,0x0000ff
5.5,2.4,3.7,0.157239017,0xff0000
5.8,2.7,3.9,0.163743326,0x0000ff
6,2.7,5.1,1.715041564,0xff0000
5.4,3,4.5,1.826793668,0xffff00
6,3.4,4.5,0.610494432,0xff0000
6.7,3.1,4.7,1.05231629,0x0000ff
6.3,2.3,4.4,0.864976487,0xff0000
5.6,3,4.1,1.973658325,0xff0000
5.5,2.5,4,1.996617138,0x0000ff
5.5,2.6,4.4,1.387431222,0x0000ff
6.1,3,4.6,1.327968984,0xffff00
5.8,2.6,4,0.082844141,0xff0000
5,2.3,3.3,1.57257529,0xffff00
5.6,2.7,4.2,0.556078791,0x0000ff
5.7,3,4.2,0.669515393,0xffff00
5.7,2.9,4.2,0.855220798,0xffff00
6.2,2.9,4.3,1.220051325,0xffff00
5.1,2.5,3,0.844422924,0x0000ff
5.7,2.8,4.1,1.042874303,0xff0000
6.3,3.3,6,1.186786767,0xff0000
5.8,2.7,5.1,0.950419296,0xff0000
7.1,3,5.9,0.493847649,0xff0000
6.3,2.9,5.6,0.320622171,0xffff00
6.5,3,5.8,1.520755877,0xff0000
7.6,3,6.6,0.848435865,0xff0000
4.9,2.5,4.5,1.131440464,0x0000ff
7.3,2.9,6.3,1.533180851,0x0000ff
6.7,2.5,5.8,0.781685782,0xffff00
7.2,3.6,6.1,1.56275544,0xff0000
6.5,3.2,5.1,1.114380009,0xff0000
6.4,2.7,5.3,1.518393823,0x0000ff
6.8,3,5.5,0.846416289,0x0000ff
5.7,2.5,5,0.021797688,0xffff00
5.8,2.8,5.1,0.788882027,0x0000ff
6.4,3.2,5.3,0.414360891,0x0000ff
6.5,3,5.5,0.305290201,0x0000ff
7.7,3.8,6.7,1.589291333,0xff0000
7.7,2.6,6.9,0.658663988,0xffff00
6,2.2,5,0.78201916,0x0000ff
6.9,3.2,5.7,0.944178866,0xffff00
5.6,2.8,4.9,0.366732464,0x0000ff
7.7,2.8,6.7,0.110639967,0x0000ff
6.3,2.7,4.9,0.394008506,0xffff00
6.7,3.3,5.7,1.574284774,0xffff00
7.2,3.2,6,1.249144598,0x0000ff
6.2,2.8,4.8,0.563611249,0x0000ff
6.1,3,4.9,0.151794479,0xffff00
6.4,2.8,5.6,1.884955329,0x0000ff
7.2,3,5.8,0.288119885,0xffff00
7.4,2.8,6.1,0.16734409,0x0000ff
7.9,3.8,6.4,0.184416669,0x0000ff
6.4,2.8,5.6,1.585073217,0x0000ff
6.3,2.8,5.1,0.318029325,0xff0000
6.1,2.6,5.6,0.706313191,0x0000ff
7.7,3,6.1,0.754672283,0x0000ff
6.3,3.4,5.6,1.378663453,0x0000ff
6.4,3.1,5.5,1.43953495,0xffff00
6,3,4.8,1.556546653,0xff0000
6.9,3.1,5.4,1.318760045,0x0000ff
6.7,3.1,5.6,0.419021069,0xff0000
6.9,3.1,5.1,1.681316414,0xffff00
5.8,2.7,5.1,0.849637675,0xff0000
6.8,3.2,5.9,1.854298271,0xff0000
6.7,3.3,5.7,0.44330706,0x0000ff
6.7,3,5.2,1.957501338,0xffff00
6.3,2.5,5,0.144510484,0xffff00
6.5,3,5.2,1.785022049,0xffff00
6.2,3.4,5.4,1.970583991,0xff0000
5.9,3,5.1,1.356866712,0xffff00
