PCA1,PCA2,PCA3,cluster
-0.5939929,-0.07188107,1.7283604,2
-1.045356,-0.3880603,-2.1351604,2
1.3289633,-0.58866495,-0.6736135,1
0.9041255,-0.26371077,1.399516,1
0.28634328,0.05400717,-1.537792,1
0.07927771,0.1608138,-1.7724558,1
-1.4365735,0.20862143,0.6039194,2
-0.32596293,-0.7840399,0.98849,2
0.7129634,0.252558,-0.8389939,1
-1.4465501,-0.64242566,-0.90390396,2
1.4698199,-0.45220217,-0.16328077,1
0.80277073,-0.0031251963,-0.7837903,1
1.1557124,0.121487856,1.3967516,1
-0.17889944,0.09435173,1.4835507,1
0.9880247,-0.06420352,0.6239448,1
0.44411013,-0.64907265,-0.9762811,1
0.17988469,-0.4604667,0.39671096,1
1.636985,-0.09322976,-0.5166195,1
0.32289687,1.1986717,-0.10867042,1
1.0753183,0.21911304,-0.046282377,1
-0.47391197,-1.3103641,0.5110487,2
0.44691575,0.13305049,-1.4445119,1
-2.1746466,2.3850183,-0.065974824,0
1.1210964,-0.46787056,1.252011,1
-0.12307023,3.766975,0.04217068,0
1.2976836,0.30750185,-0.61664027,1
1.2108155,0.14945032,-0.61604404,1
0.38986254,-0.7817291,-0.16550569,1
0.5639238,-0.69887316,0.9994661,1
1.78336,0.02588132,-1.0860403,1
0.9040271,-0.010853383,-0.117797494,1
-0.36675256,-0.1302895,-1.9087701,1
-1.4592371,-0.89946103,0.5842763,2
-2.3876653,-0.20463026,0.18991278,2
-0.5460187,4.006495,-0.1468793,0
0.068595126,0.05195838,-0.7444986,1
0.3911362,-0.14416246,-0.49794117,1
-1.7877764,-0.47540373,0.25440854,2
0.27699828,-0.22561203,-1.3069077,1
0.6140295,1.2500684,0.21791773,1
-0.09655241,-0.071454346,-1.129806,1
-0.11681513,0.2663634,-0.9179634,1
1.597631,0.08227057,0.2115219,1
-1.4934599,2.749057,0.06086219,0
0.56799877,0.020868253,1.6404939,1
0.4381518,-1.1503819,1.888298,1
0.14249063,-0.32754937,-1.6909641,1
-1.758141,0.28341356,0.044528943,2
-0.097799264,0.59647727,0.21128696,1
-1.854105,-0.59492123,-0.69045323,2
-0.59366065,-0.7923275,0.608676,2
0.55773854,-0.4315466,0.39972714,1
1.1469737,-0.59403235,0.50768733,1
0.12792626,-0.49458998,1.1481646,1
-0.9514749,-0.81029767,-0.3672964,2
-0.81538826,-0.668683,-0.88693166,2
-0.53945976,0.26744696,0.09888209,2
0.59089154,-0.36226025,-0.25882182,1
-0.44558784,-0.20082213,-0.19901699,2
0.71609175,-0.64403075,0.6250272,1
0.08635583,-0.35179985,0.9539836,1
-0.8469407,-0.7804383,-0.33683443,2
-0.11165584,1.1844712,-0.6379601,1
0.82570606,-0.5095911,-0.5827804,1
1.0354031,-0.32348803,-0.16074933,1
1.5194417,-0.24305706,-0.24756388,1
-1.6053641,-1.4391873,0.037107788,2
1.2969352,-0.026974272,-0.63980687,1
0.634066,-0.6710062,1.0278718,1
0.74177635,0.21961685,-0.9918086,1
-0.8583982,-0.6536243,0.4200252,2
-1.0637528,-1.310875,-0.57039917,2
1.3803376,0.27475896,-0.6554462,1
-1.5637747,-1.0422957,0.071897745,2
1.134541,-0.6579275,-0.35963497,1
0.8320908,1.2538446,0.01940809,1
0.49847767,-0.45560047,0.055430498,1
0.021817436,0.13940482,0.7044123,1
-0.9750241,0.054267377,1.9159278,2
-0.15750918,-0.47211665,0.25267228,1
0.17947705,-0.4283444,0.8407261,1
0.3210081,2.1385176,0.57140255,0
1.221331,-0.3427507,-0.44799381,1
1.0285187,-0.62122345,-0.23186669,1
0.4341088,-0.3488406,-0.55911905,1
-0.30503696,-0.8211968,-1.6436949,2
1.2250272,-0.7170944,-0.4681709,1
-0.7421323,0.13618633,-0.34030163,2
-1.0077715,-0.65026134,-0.27578765,2
-4.002536,0.9057969,0.8651038,2
-4.016918,0.75724196,0.5841673,2
-0.86173546,-0.51562166,-0.5688463,2
0.4941721,-0.42639047,-0.80939394,1
-1.2635665,4.6005654,-0.28013158,0
0.7808397,2.8377614,0.1507351,0
1.2706921,-0.2617059,-0.34386656,1
0.6543133,-0.42633164,-1.7998899,1
-0.8588305,0.16242515,1.6039462,2
0.6132431,0.4990984,-0.6845796,1
1.6545938,-0.14390282,-0.027607486,1
-0.9929468,0.35818493,0.44195023,2
-1.2567474,3.1591663,-0.05511093,0
1.12321,-0.15422748,1.9531606,1
-1.5107079,-0.68803465,-0.1606987,2
1.4845511,-0.29375675,-0.078341216,1
0.9416937,-0.23425452,1.6063216,1
-1.00306,0.96834713,-1.0765792,2
-1.0231274,1.730218,-1.9763855,0
-0.7054544,1.3055115,-1.2832417,0
0.141743,0.43805438,1.8447331,1
-0.88789195,0.067064226,1.808956,2
1.1768625,-0.78321743,-0.6302012,1
-0.8987313,2.5997326,-1.5288936,0
1.6347175,0.06282912,-0.15002671,1
1.1768625,-0.78321743,-0.6302012,1
1.2442429,0.0039412756,-0.15631431,1
1.1768625,-0.78321743,-0.6302012,1
1.1768625,-0.78321743,-0.6302012,1
1.1768625,-0.78321743,-0.6302012,1
1.4057972,-0.05990402,-0.32874593,1
0.95607215,1.9785954,0.2345658,0
1.6607922,-0.30547062,-0.31828788,1
1.1768625,-0.78321743,-0.6302012,1
-0.50968844,3.9646544,0.31190786,0
1.1768625,-0.78321743,-0.6302012,1
1.1768625,-0.78321743,-0.6302012,1
1.3916919,-0.27380046,-0.24560362,1
-2.6712544,0.062372472,0.5013963,2
1.7510408,-0.22843347,-0.015006445,1
-2.3941264,0.8367321,-0.46769616,2
0.5759676,0.5571676,0.80116075,1
-0.32840967,-0.521852,-0.18091126,2
0.2817039,-0.03640236,1.1832975,1
0.97925216,0.5550751,-0.26552626,1
1.1768625,-0.78321743,-0.6302012,1
-2.3938916,-1.2190906,-0.27993733,2
1.3486035,0.2445069,0.027107365,1
1.409665,0.29502833,-0.21145491,1
-1.6923409,-0.85459083,-0.119013205,2
-0.2854834,-0.27573645,-1.4057513,1
0.75990856,-0.035612404,0.31885812,1
0.43735164,0.2818766,-1.6958928,1
0.8033967,-0.4563004,-0.26928538,1
-0.061368447,-0.7856204,0.35703877,1
1.5388037,0.011759576,-0.5321803,1
-0.55893093,-0.86911553,-0.75114626,2
-0.6271902,3.7181191,-0.41814843,0
-0.610849,-0.9437276,-0.45003432,2
0.34842092,-0.348799,0.44050008,1
0.21764694,3.0957458,0.051264152,0
1.5346502,-0.16453753,0.046842888,1
1.568241,-0.058714025,0.13525647,1
0.78099805,1.399221,-0.025738161,1
-0.20230035,-0.119416684,1.0616386,1
-1.0732945,1.5251591,0.89345574,0
-2.3335032,-0.6411596,-0.3103902,2
-0.80335426,-0.25620303,0.4579661,2
-0.33358508,-0.53836244,-0.2846299,2
1.3080069,-0.036855917,-0.11230055,1
-0.23345777,-1.1219473,0.5101609,2
1.2790977,-0.33466437,-0.36301568,1
1.0717213,-0.097878635,-0.31514457,1
-0.30341014,-0.7432594,0.10101385,1
-0.40464178,3.1192508,-0.7713278,0
0.6876753,0.42772347,1.4533536,1
0.89090914,-0.22734496,1.023596,1
-1.6949985,-0.44085518,1.5956528,2
0.2849307,-0.14913557,1.180704,1
-1.9601595,-1.2937455,0.55620223,2
0.6919859,-0.05627393,1.5211148,1
0.4359713,1.9490572,0.33161125,0
0.47968245,-0.980101,0.46450436,1
0.23008417,-0.18738298,-1.0484428,1
-1.8434694,0.6581291,1.8816121,2
-1.0029414,0.67708755,-0.0158415,2
0.0074509317,-0.34234464,0.9474231,1
-1.5641911,-0.963784,-1.5564183,2
0.45518285,-0.47834244,0.3374064,1
-0.43857566,3.3416803,-0.8741072,0
-0.6663767,-0.08116769,-2.0094323,2
-0.5891271,-0.49517822,0.9209594,2
0.5028497,-0.12672758,-0.26035646,1
0.564123,-0.2804721,-0.60888124,1
0.5982481,-0.8615623,0.53252685,1
-0.63206697,0.023138933,0.6058185,2
0.6566657,-0.27286953,-0.9323605,1
-1.5481808,-0.09140667,0.16670394,2
-1.555695,-0.8696427,-0.5840325,2
0.8765457,-0.23723154,0.6291207,1
-0.86397964,-0.08909957,0.34511358,2
1.2557232,-0.32932952,0.5228599,1
-0.10845899,-1.0183052,0.25899318,1
1.7373866,-0.20966943,-0.37620634,1
0.54040116,-0.6583307,-0.4059372,1
-0.86397964,-0.08909957,0.34511358,2
1.5386039,-0.13758282,-0.12895675,1
0.07480608,-0.37058994,-1.5264883,1
-1.6299758,-0.19155829,-0.45405507,2
0.3968021,-0.3332626,0.9070579,1
-0.4253264,-0.8488696,-0.405531,2
-1.056398,-1.452396,0.3380933,2
-0.07519021,-0.3562096,-2.1832404,1
0.5072507,0.16449891,-0.5848207,1
-0.5900386,3.0189092,-0.34095505,0
-0.13916354,-0.19581646,-1.5740961,1
0.45422134,-0.49339584,1.4168725,1
-0.76888716,-0.8308999,0.01567743,2
-1.0695417,0.9878028,-0.21424375,2
-0.13683565,0.5302819,0.90079165,1
0.31025863,1.5541102,-0.114104025,0
-1.6667572,-1.0687387,0.08758132,2
1.1768625,-0.78321743,-0.6302012,1
-0.31493014,-1.0628847,1.3037215,2
0.78293705,0.96128917,0.7247332,1
-1.4741358,-0.68751377,-0.45679358,2
1.5825994,0.42243618,0.10429194,1
1.1768625,-0.78321743,-0.6302012,1
-1.2812792,-1.186491,-0.6614,2
0.90915465,1.3012546,-0.16175579,1
-1.8937415,3.099563,0.20769586,0
-0.443296,-0.7085696,0.052648295,2
0.34043798,-0.13361175,-1.6208829,1
0.4346473,-0.43091992,0.18060718,1
-0.1291424,-0.47268167,1.4094776,1
-2.3618512,-0.93738437,-0.16743146,2
0.98864317,-0.09237197,0.3452778,1
1.4525493,0.03741459,-1.1132554,1
1.2111909,-0.35024202,0.47046414,1
1.3177241,-0.08126743,-0.027276745,1
-0.96332383,0.148271,-0.4672753,2
-0.3539546,-0.4663317,-2.2247775,1
-0.6855635,0.45269647,-0.22902702,2
0.2766449,1.0008839,0.47235042,1
-1.0843517,-0.36444074,-1.0267843,2
-0.10624865,0.05861022,-0.2328779,1
1.672732,-0.24605237,0.47920942,1
0.5262251,1.0122956,-0.22427155,1
1.3982464,-0.55108285,-0.06230985,1
-1.8457873,-0.5919207,1.2376246,2
-0.10688433,1.1576729,-0.23283987,1
1.6697352,0.3262692,0.23750111,1
0.03461838,-0.14891315,-2.3654714,1
-2.3623781,-0.055232897,0.5719554,2
-0.91759485,-0.31853306,1.112032,2
-0.5387891,0.52303886,-1.582472,2
0.71822965,1.4411492,1.3190469,1
-0.8706038,-0.7471563,-0.48599502,2
-0.44751212,1.1998278,-1.1341414,0
-3.4302392,-1.1356312,0.9309388,2
-1.3877742,1.1524088,1.1294235,2
0.41790852,0.50626963,-0.00044426997,1
-2.2864945,-0.66698694,0.49643913,2
0.35183907,-0.008517957,-0.6824597,1
0.6465608,0.4643443,0.2729561,1
0.11040581,1.1137414,0.45864993,1
1.238274,0.0626709,-0.22303273,1
-1.0955197,0.2310884,0.3055492,2
-0.7741614,1.990066,0.92205286,0
-1.1661277,2.3344486,0.40586954,0
0.9408865,-0.29285055,0.010899683,1
-0.52821726,0.4854394,0.54118127,2
-1.9421709,-0.8106531,1.4078786,2
0.23931168,-0.28247073,-1.1458936,1
0.8381003,2.2731628,0.08766577,0
0.31664374,-0.68646485,1.3099877,1
-0.35058266,3.5425508,0.031683303,0
1.1768625,-0.78321743,-0.6302012,1
1.6709673,-0.18911728,-0.3904996,1
0.8062047,-0.62865067,-1.1815271,1
1.7147008,-0.4171035,0.26797584,1
1.1768625,-0.78321743,-0.6302012,1
1.1768625,-0.78321743,-0.6302012,1
1.2517475,-0.20512012,-0.23156688,1
0.06854427,-0.3683752,1.3538738,1
0.7433368,-0.525848,0.5118459,1
0.3009956,-0.41685322,-1.2505686,1
-0.072721,-0.85807514,0.5204681,1
1.3011966,-0.37939617,-0.02046435,1
-2.0944507,0.24635337,-0.23458368,2
-1.6923409,-0.85459083,-0.119013205,2
-0.2689437,0.016811531,1.0314883,2
0.11598855,0.8397921,-1.4313396,1
0.00028636324,-0.689584,0.15573294,1
-0.3914443,3.9461803,0.52604425,0
-0.8894615,-0.43460333,-1.000598,2
1.4556788,-0.6948963,-0.30914328,1
1.8046016,0.11263056,-0.18964362,1
-0.6108492,-0.9437278,-0.45003402,2
0.6959423,-0.19834468,-0.020526087,1
0.78282446,-0.35523805,-1.0411887,1
-1.1867263,-0.09133279,-0.3905509,2
-0.44510344,-0.66609514,0.026147027,2
0.32776082,-0.45294845,-0.6631316,1
-1.1243513,3.4914706,-0.76387674,0
-0.086916134,-0.022743158,-1.4835678,1
0.7887002,-0.49658203,0.40544152,1
0.8391177,-0.27348194,-0.5470929,1
0.5778378,0.041416917,-1.7938751,1
0.41100964,-0.5124378,-1.3926624,1
-0.02243422,0.20206983,0.24490088,1
0.3456863,-0.6519221,-0.7162681,1
0.32605138,0.026655618,0.78712606,1
0.06057911,-0.03983066,-1.0594629,1
-0.6058188,0.5706588,-0.3692391,2
-0.68361175,-0.1063543,1.2280794,2
0.45532572,-0.37345946,-0.91993487,1
0.30083102,3.0754182,0.5218375,0
-0.25563726,-0.12818919,-2.0017982,1
-0.89185286,-0.5432352,0.02274778,2
-0.13460396,1.218613,1.3933426,1
-0.41545755,-0.4843958,2.2852552,2
1.0948408,-0.09552641,-0.3843356,1
0.23419331,0.32876417,-0.4517326,1
-1.6965853,-0.5222682,1.8976139,2
0.027698152,-0.3620271,-1.1687112,1
-0.22111514,-0.69913685,0.18739499,2
-1.7977259,0.06980272,0.06231561,2
-0.69216686,-0.50097156,0.020407222,2
0.32274058,0.92131096,-0.52278155,1
0.2869611,-0.37636673,-1.6747284,1
0.73697513,-0.5226864,1.4521297,1
1.2417362,0.5534173,-0.7268637,1
-0.022784479,-1.2114146,1.8658168,2
-0.6521362,2.1165721,-0.96635205,0
0.38861766,3.709291,0.36937785,0
0.9272474,-0.93296313,0.010084691,1
0.9272474,-0.93296313,0.010084691,1
-0.43884844,-0.5490333,0.12520614,2
1.3669347,-0.40020406,-0.51417774,1
0.40772673,-0.25350425,0.9520613,1
-1.4394068,-0.81486356,0.09941865,2
0.78866446,-0.37649027,0.20514585,1
-0.2825519,-0.047516033,1.8981524,2
0.8715345,-0.43654633,1.2389269,1
-0.09520328,0.38356084,-0.44417334,1
-0.8136017,-0.22896607,0.4416114,2
0.50187457,-0.14809881,-0.9519513,1
-2.1914144,-0.97673273,-0.40814623,2
-0.8305029,0.040259182,0.917485,2
0.8767393,0.73983145,0.64664507,1
0.39065814,0.29321417,0.5559239,1
0.95503694,-0.66924095,2.4460793,1
-0.059483267,-0.80688,0.70934045,1
-0.79788744,-0.020488909,-0.11273905,2
0.80427533,0.03599969,0.08828777,1
1.2391076,-0.5497847,-0.4057019,1
-0.927008,-0.8085215,0.6441217,2
1.3394177,-0.22666965,0.069166385,1
0.23453215,0.3398193,0.4154954,1
0.05005072,-0.43541873,-1.9374974,1
1.4233016,0.12207323,-0.3718542,1
-0.56741816,-0.7512278,0.2564694,2
-1.4704425,-0.727406,1.5021443,2
1.664085,-0.31148225,-0.026810747,1
1.4498159,0.20688765,-0.17510115,1
0.49511445,0.35365254,-0.35192508,1
1.4591322,-0.1894238,-0.22403173,1
0.5497652,-0.12037483,1.0300767,1
0.7990885,0.07891039,0.6322455,1
-1.7238905,-0.22123224,0.32582036,2
-0.12470493,-0.3844285,-1.007926,1
-1.3731663,-0.82739645,-0.47414115,2
1.1123312,0.7218888,0.29903084,1
-1.2421793,-1.2089273,1.2628548,2
-1.2635522,-0.58448195,1.8392744,2
0.9138691,0.16808814,0.2162763,1
-0.038835578,-0.6695107,-1.1678439,1
0.8393179,0.38077462,-0.8671437,1
-0.25960645,-0.9008624,0.24080259,2
0.4770688,-0.7309355,0.67124367,1
-0.7787693,-0.58002615,-0.20064136,2
-0.48139015,-0.7926958,1.4005325,2
-1.3830042,-0.5384733,-1.1056045,2
-0.1847038,-0.69148743,1.8420258,2
-0.5601353,-0.5913312,2.0849407,2
-0.122407235,-0.17250508,1.1224898,1
0.1650871,-0.6518996,-1.2492152,1
0.35299814,-0.62345177,0.19890274,1
1.0060622,-0.2725163,-0.5351484,1
1.2876178,-0.04574524,-0.5968594,1
-0.69794244,1.3343848,-1.6316028,0
0.6375124,-0.6839059,0.55855495,1
-1.32602,0.30028394,0.22069448,2
0.5694903,-0.66049767,1.9244889,1
1.0013666,0.5380135,0.12930532,1
0.32470557,-0.9961501,-0.0033045067,1
1.3949902,1.6476848,0.31872985,1
-0.105300196,-0.27150863,-1.000928,1
-0.15222527,0.33473662,1.7632347,1
-0.96004295,-0.80181396,-0.51747537,2
0.68689007,0.2026898,-0.19091532,1
1.0498536,0.31623754,1.4866962,1
1.025876,0.6076682,-0.07984655,1
-2.5715716,1.3844776,-0.39624733,2
-0.056749385,0.19398709,-1.8236735,1
0.012057151,-0.16039465,1.0521846,1
-1.1241343,-0.93592054,-0.11484272,2
-0.8592616,0.48244923,0.24832062,2
0.53153926,0.5558921,-0.14069235,1
1.6309983,0.07663177,-0.20463672,1
-1.855541,-0.18937652,-0.8352287,2
0.63438094,-0.5706212,0.039906,1
0.20083441,-0.5764418,0.77708787,1
-0.99365914,-0.6813446,0.7433915,2
0.9179612,0.7727716,0.27984187,1
-0.49724066,2.8828568,0.74761575,0
-1.5928266,-1.2055428,-0.29026425,2
0.51601005,-0.3642272,0.27107736,1
-1.6923409,-0.85459083,-0.119013205,2
-0.74378294,-0.806567,1.2536656,2
0.56275743,0.099910654,-0.3222264,1
-1.3713423,-0.17786507,0.7837102,2
-1.8901198,-1.0471781,1.3700268,2
-0.521131,1.3357003,1.2933577,0
0.21852957,0.35068053,0.15724608,1
-0.10156163,-0.1608617,0.6573009,1
0.0058921278,-0.55115193,1.0825955,1
1.1433667,0.50701064,-0.6314211,1
-0.6108492,-0.9437278,-0.45003402,2
1.2161121,0.7889326,0.8885003,1
0.37619156,-0.2922966,-0.30907357,1
1.1461712,-0.39710638,0.2145083,1
1.5150074,0.12027498,-0.84970015,1
-0.31863692,-0.35941607,0.20496622,1
0.2752569,0.14017549,0.76451313,1
0.264906,1.2351645,-0.717354,1
-1.1500682,-0.44551834,1.6353747,2
-1.1819723,-0.71286184,-0.12984109,2
0.9533432,2.9439058,0.58144355,0
-0.13888341,3.6064167,-0.19583388,0
1.0752194,-0.08991989,-0.8446308,1
1.3984123,-0.21896371,-0.1905793,1
1.0091013,-0.35649252,-0.15178075,1
0.8583039,-0.28853124,-0.16965573,1
-0.637644,-0.8940167,-2.041114,2
-2.1955743,-1.457875,-0.5290069,2
-0.41712624,-0.54630524,-1.3288308,2
0.038230218,-0.06696291,-0.7203251,1
0.76565593,-0.33269367,-0.14729428,1
-0.45799825,-0.43931442,-0.18815333,2
-1.2330914,-0.30906487,-0.13844785,2
-0.76671314,-0.41933438,-0.7528303,2
0.1159331,-0.9185506,0.32058048,1
1.530242,-0.50172514,-0.048918013,1
0.014941236,-0.78123766,0.36575466,1
0.49340326,-0.27350816,1.6586758,1
-0.86301136,-1.0590413,-1.1670345,2
0.017290024,0.81619877,0.4908036,1
0.4615388,0.026345551,-1.037451,1
0.021246122,-0.31440774,0.88112116,1
0.70490104,0.08190573,1.3712454,1
0.64796174,-0.5128012,0.013228186,1
0.09557538,0.41450378,-0.28393373,1
0.5354823,3.3765354,0.75121593,0
0.20582823,-0.7372235,-1.0337539,1
0.5571573,-0.18433802,-1.4770472,1
-0.048214164,-0.7366411,0.0056913905,1
-0.39785084,-0.40062648,0.19783984,2
-0.5263908,1.131809,1.0215111,1
0.48609126,-0.52055967,1.3530219,1
1.1418765,-0.61519414,-0.24035503,1
1.6834968,0.046288397,-0.49622422,1
1.028375,-0.29709297,1.5046842,1
0.82838416,-0.2839391,-0.2978398,1
0.14134292,-0.18533519,-0.6728535,1
1.452147,-0.17455664,-0.13196646,1
1.1927496,0.56818855,-0.5593337,1
1.0410883,-0.59797543,-0.50634396,1
-0.12931785,2.1269147,-0.21971376,0
1.2706674,0.68300056,0.37351304,1
-0.8388481,0.67266846,1.0682192,2
0.27093,0.120579034,-1.4471649,1
0.03249702,-0.6102939,-1.6633369,1
0.18670693,-0.32234076,-1.0625619,1
-0.6419462,-0.45204806,0.06868404,2
-0.330046,-0.4705194,-1.1202903,2
0.7609313,-0.13092487,-0.41784886,1
0.8401705,-0.58515066,0.048798583,1
0.121697605,-0.41830397,2.2855587,1
1.4117591,-0.40238807,-0.26431975,1
-0.18951428,0.17410009,-1.8933216,1
0.10162577,-0.37019375,-1.7293321,1
0.87518495,-0.3059277,-0.19101459,1
0.6658578,-0.41306227,1.7857184,1
-0.46870434,0.34898284,1.7199373,2
-2.6279743,-0.7331864,-0.81683356,2
0.21497853,-0.11305685,-1.4183933,1
1.6071373,-0.8299237,-0.25694636,1
-0.12691069,1.3529546,-0.94451183,0
0.77855605,0.57214785,-0.28440207,1
0.26629886,-0.028257564,0.018399237,1
-0.287127,-0.60353804,0.46691963,2
0.31225196,0.8290085,-0.94090104,1
1.2445897,-0.27353075,-0.58736795,1
0.5930075,3.7215278,0.6728331,0
1.027765,-0.1619191,-0.0041676257,1
-0.5299712,-0.8739524,1.113219,2
0.39872682,-0.35266924,0.7408001,1
0.13746569,2.197784,0.85642016,0
